Date,Close
2018-02-27,10594.7598
2018-02-28,10334.4404
2018-03-01,10929.3701
2018-03-02,11043.1201
2018-03-03,11465.3604
2018-03-04,11504.4199
2018-03-05,11440.7305
2018-03-06,10735.4502
2018-03-07,9928.5596
2018-03-08,9316.7197
2018-03-09,9252.7598
2018-03-10,8797.2695
2018-03-11,9544.8398
2018-03-12,9142.1504
2018-03-13,9160.1201
2018-03-14,8217.7002
2018-03-15,8268.4102
2018-03-16,8283.2305
2018-03-17,7883.4502
2018-03-18,8215.4004
2018-03-19,8623.1396
2018-03-20,8920.71
2018-03-21,8911.3496
2018-03-22,8724.9805
2018-03-23,8934.7998
2018-03-24,8548.0596
2018-03-25,8472.8398
2018-03-25,8152.2002
2018-03-26,7808.48
2018-03-27,7959.7798
2018-03-28,7106.6201
2018-03-29,6853.7598
2018-03-30,6943.77
2018-03-31,6835.8398
2018-04-01,7074.6001
2018-04-02,7434.2998
2018-04-03,6815.5
2018-04-04,6790.4502
2018-04-05,6634.8599
2018-04-06,6917.2002
2018-04-07,7049.9199
2018-04-08,6789.5298
2018-04-09,6871.0698
2018-04-10,6977.1299
2018-04-11,7927.73
2018-04-12,7899.1099
2018-04-13,8022.5098
2018-04-14,8376.7305
2018-04-15,8079.77
2018-04-16,7921.6299
2018-04-17,8189.96
2018-04-18,8301.8203
2018-04-19,8877.0801
2018-04-20,8935.7197
2018-04-21,8823.3604
2018-04-22,8968.25
2018-04-23,9655.7695
2018-04-24,8873.6201
2018-04-25,9282.1201
2018-04-26,8938.4697
2018-04-27,9351.4697
2018-04-28,9407.04
2018-04-29,9248.4502
2018-04-30,9077.2803
2018-05-01,9232.1904
2018-05-02,9745.04
2018-05-03,9699.6104
2018-05-04,9845.9004
2018-05-05,9644.9199
2018-05-06,9377.8096
2018-05-07,9196.1299
2018-05-08,9321.1602
2018-05-09,9032.2197
2018-05-10,8421.0
2018-05-11,8486.6699
2018-05-12,8709.46
2018-05-13,8672.9004
2018-05-14,8480.1602
2018-05-15,8344.7803
2018-05-16,8071.04
2018-05-17,8247.9102
2018-05-18,8249.2402
2018-05-19,8533.0
2018-05-20,8419.6504
2018-05-21,7992.75
2018-05-22,7505.77
2018-05-23,7584.7402
2018-05-24,7475.3599
2018-05-25,7355.0601
2018-05-26,7362.23
2018-05-27,7118.8799
2018-05-28,7474.75
2018-05-29,7393.02
2018-05-30,7502.1499
2018-05-31,7530.5498
2018-06-01,7643.2598
2018-06-02,7719.75
2018-06-03,7503.2002
2018-06-04,7629.3999
